id,name,category,status_item,price,description,images/0,images/1,sold,images/2,images/3
1,Câmera Sony Alpha a7R III Full Frame Mirrorless E-Mount,tecnologia,Usado - Como Novo,"R$12.500,00","Kit de câmera, lente, baterias e uma mochila de transporte. O kit conta com:
01(uma) Câmera Sony Alpha a7R III Full Frame Mirrorless E-Mount como nova e com apenas 'XXX' Cliques!
01(uma) Lente Sony Alpha FE 50mm F 1.8 E-Mount Full Frame.
2 (duas) baterias Sony originais.
1(uma) mochila de transporte.
Câmera com pouquíssimo uso em gravações em ambientes internos.",https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/Place_Camera_frente1.png,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/Place_Camera_topo1.png,FALSE,,
2,Coleção Histórica Marvel: O Incrível Hulk/Panini,hqs,Usado - Como Novo,"R$150,00",Box com 4 volumes das HQs históricas do universo Marvel do Incrível Hulk publicadas pela Editora Panini em 2018. Formato: Americano (17 x 26 cm) Colorido/Lombada quadrada. 3 das HQs no plástico de proteção. Mais informações em: http://www.guiadosquadrinhos.com/capas/colecao-historica-marvel-o-incrivel-hulk/co011155,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/Capa_box_hulk.png,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/Tras_Box_hulk.png,FALSE,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/Lombada_Box_hulk.png,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/4volumes_box_hulk.png
3,Coleção Histórica Marvel: Guerras Secretas/Panini,hqs,Usado - Como Novo,"R$220,00",Box com 4 volumes das HQs históricas do universo Marvel sobre o arco 'Guerras Secretas' publicadas pela Editora Panini em 2016. Formato: Americano (17 x 26 cm) Colorido/Lombada quadrada. 4 HQs no plástico de proteção. Mais informações em: http://www.guiadosquadrinhos.com/capas/colecao-historica-marvel-guerras-secretas/co011145,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/Capa_box_GuerrasSecretaas.png,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/Tras_box_GuerrasSecretaas.png,FALSE,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/Lombada_box_GuerrasSecretaas.png,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/4volumes_box_GuerrasSecretaas.png
4,Coleção Marvel Terror: A Tumba do Drácula/Panini,hqs,Usado - Como Novo,"R$200,00",Box com 4 volumes das HQs históricas do universo Marvel com o Conde Drácula publicadas pela Editora Panini em 2017 e 2018. Formato: Americano (17 x 26 cm) Colorido/Lombada quadrada. 3 HQs no plástico de proteção. Mais informações em: http://www.guiadosquadrinhos.com/capas/colecao-marvel-terror-a-tumba-do-dracula/co011117,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/Capa_box_ATumbadoDracula.png,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/Tras_box_ATumbadoDracula.png,FALSE,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/Lombada_box_ATumbadoDracula.png,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/4volumes_box_ATumbadoDracula.png
5,Coleção Histórica Marvel: Wolverine/Panini,hqs,Usado - Como Novo,"R$200,00",Box com 4 volumes das HQs históricas do universo Marvel com Wolverine publicadas pela Editora Panini em 2017 e 2018. Formato: Americano (17 x 26 cm) Colorido/Lombada quadrada. 3 HQs no plástico de proteção. Mais informações em: http://www.guiadosquadrinhos.com/capas/colecao-historica-marvel-wolverine/co011149,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/Capa_box_ATumbadoDracula.png,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/Tras_box_ATumbadoDracula.png,FALSE,,
6,Batman - O Longo Dia das Bruxas - Parte 1/Eaglemoss,hqs,Usado - Como Novo,"R$30,00",Graphic Novel com a compilação da parte 1 das histórias do arco 'O longo dia das Bruxas' do Batman publicada pela Editora Eaglemoss em 2015. Formato: Americano (17 x 26 cm) Colorido/Capa dura.,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/place_batman_bruxas_capa1.png,,FALSE,,
7,Batman - O Longo Dia das Bruxas - Parte 2/Eaglemoss,hqs,Usado - Como Novo,"R$30,00",Graphic Novel com a compilação da parte 2 das histórias do arco 'O longo dia das Bruxas' do Batman publicada pela Editora Eaglemoss em 2015. Formato: Americano (17 x 26 cm) Colorido/Capa dura.,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/place_batman_bruxas_capa1.png,,FALSE,,
8,Batman: O Nascimento do Demônio - Parte 1/Eaglemoss,hqs,Usado - Como Novo,"R$30,00",Graphic Novel com a compilação da parte 1 das histórias do arco 'O Nascimento do Demônio' do Batman publicada pela Editora Eaglemoss em 2016. Formato: Americano (17 x 26 cm) Colorido/Capa dura.,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/place_batman_bruxas_capa1.png,,FALSE,,
9,Batman: O Nascimento do Demônio - Parte 2/Eaglemoss,hqs,Usado - Como Novo,"R$30,00",Graphic Novel com a compilação da parte 2 das histórias do arco 'O longo dia das Bruxas' do Batman publicada pela Editora Eaglemoss em 2015. Formato: Americano (17 x 26 cm) Colorido/Capa dura.,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/place_batman_bruxas_capa1.png,,FALSE,,
10,Liga da Justiça América (LJA) - O Prego/Eaglemoss,hqs,Usado - Como Novo,"R$30,00",Graphic Novel com a compilação das histórias do arco 'O Prego' da Liga da Justiça América publicada pela Editora Eaglemoss em 2015. Formato: Americano (17 x 26 cm) Colorido/Capa dura.,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/place_batman_bruxas_capa1.png,,FALSE,,
11,DC - A Nova Fronteira - Parte 1/Eaglemoss,hqs,Usado - Como Novo,"R$30,00",Graphic Novel com a compilação da primeira parte das histórias do arco 'DC - A Nova Fronteira' da Liga da Justiça América publicada pela Editora Eaglemoss em 2017. Formato: Americano (17 x 26 cm) Colorido/Capa dura.,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/place_batman_bruxas_capa1.png,,FALSE,,
12,DC - A Nova Fronteira - Parte 2/Eaglemoss,hqs,Usado - Como Novo,"R$30,00",Graphic Novel com a compilação da segunda parte das histórias do arco 'DC - A Nova Fronteira' da Liga da Justiça América publicada pela Editora Eaglemoss em 2017. Formato: Americano (17 x 26 cm) Colorido/Capa dura.,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/place_batman_bruxas_capa1.png,,FALSE,,
13,Batman: Sina Macabra/Eaglemoss,hqs,Usado - Como Novo,"R$30,00",Graphic Novel com a compilação das histórias do arco 'Sina Macabra' do Batman publicada pela Editora Eaglemoss em 2017. Formato: Americano (17 x 26 cm) Colorido/Capa dura. Mais informações em: http://www.guiadosquadrinhos.com/edicao/dc-comics-colecao-de-graphic-novels-n-42/dc125010/130626,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/place_batman_bruxas_capa1.png,,FALSE,,
14,Batman: A Luva Negra/Eaglemoss,hqs,Usado - Como Novo,"R$30,00",Graphic Novel com a compilação das histórias do arco 'A luva negra' do Batman publicada pela Editora Eaglemoss em 2018. HQ lacrada no plástico de proteção! Formato: Americano (17 x 26 cm) Colorido/Capa dura. Mais informações em: http://www.guiadosquadrinhos.com/edicao/dc-comics-colecao-de-graphic-novels-n-65/dc125010/139152,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/place_batman_bruxas_capa1.png,,FALSE,,
15,Batman - O homem que ri & Asilo Arkham/Eaglemoss,hqs,Usado - Como Novo,"R$30,00",Graphic Novel com a compilação das histórias 'O homem que ri' & 'Asilo Arkham' do Batman publicada pela Editora Eaglemoss em 2017. Formato: Americano (17 x 26 cm) Colorido/Capa dura. Mais informações em: http://www.guiadosquadrinhos.com/edicao/dc-comics-colecao-de-graphic-novels-n-34/dc125010/128252,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/place_batman_bruxas_capa1.png,,FALSE,,
16,Wolverine: Arma X/Salvat,hqs,Usado - Como Novo,"R$30,00",Graphic Novel com a compilação das histórias 'Arma X' do Wolverine publicada pela Editora Salvat em 2014. Formato: Americano (17 x 26 cm) Colorido/Capa dura. Mais informações em: http://www.guiadosquadrinhos.com/edicao/colecao-oficial-de-graphic-novels-marvel-a-n-12/gr007106/110207,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/place_batman_bruxas_capa1.png,,FALSE,,
17,Marvel 1602/Salvat,hqs,Usado - Como Novo,"R$30,00",Graphic Novel com a compilação do arco das histórias '1602' do Universo Marvel publicada pela Editora Salvat em 2015. Formato: Americano (17 x 26 cm) Colorido/Capa dura. Mais informações em: http://www.guiadosquadrinhos.com/edicao/colecao-oficial-de-graphic-novels-marvel-a-n-32/gr007106/118690,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/place_batman_bruxas_capa1.png,,FALSE,,
18,O Espetacular Homem-Aranha: De Volta ao Lar/Salvat,hqs,Usado - Como Novo,"R$20,00",Graphic Novel com a compilação de histórias do Homem-Aranha publicada pela Editora Salvat em 2013. Formato: Americano (17 x 26 cm) Colorido/Capa dura. Mais informações em: http://www.guiadosquadrinhos.com/edicao/colecao-oficial-de-graphic-novels-marvel-a-n-21/gr007106/104302,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/place_batman_bruxas_capa1.png,,FALSE,,
19,O Espetacular Homem-Aranha: Revelações & Até Que as Estrelas Esfriem/Salvat,hqs,Usado - Como Novo,"R$30,00",Graphic Novel com a compilação de histórias do Homem-Aranha publicada pela Editora Salvat em 2015. Formato: Americano (17 x 26 cm) Colorido/Capa dura. Mais informações em: http://www.guiadosquadrinhos.com/edicao/colecao-oficial-de-graphic-novels-marvel-a-n-22/gr007106/116449,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/place_batman_bruxas_capa1.png,,FALSE,,
20,O Espetacular Homem-Aranha: A Última Caçada de Kraven/Salvat,hqs,Usado - Como Novo,"R$30,00",Graphic Novel com a compilação de histórias do Homem-Aranha publicada pela Editora Salvat em 2013. Formato: Americano (17 x 26 cm) Colorido/Capa dura. Mais informações em: http://www.guiadosquadrinhos.com/edicao/colecao-oficial-de-graphic-novels-marvel-a-n-9/gr007106/107146,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/place_batman_bruxas_capa1.png,,FALSE,,
21,Mulher-Maravilha - O Círculo/Eaglemoss,hqs,Usado - Como Novo,"R$30,00",Graphic Novel com a compilação das histórias da Mulher Maravilha publicada pela Editora Eaglemoss em 2016. Formato: Americano (17 x 26 cm) Colorido/Capa dura. Mais informações em: http://www.guiadosquadrinhos.com/edicao/dc-comics-colecao-de-graphic-novels-n-17/dc125010/124184,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/place_batman_bruxas_capa1.png,,FALSE,,
22,"Eu, Wolverine/Salvat",hqs,Usado - Como Novo,"R$30,00",Graphic Novel com a compilação das histórias do Wolverine publicada pela Editora Salvat em 2015. Formato: Americano (17 x 26 cm) Colorido/Capa dura. Mais informações em: http://www.guiadosquadrinhos.com/edicao/colecao-oficial-de-graphic-novels-marvel-a-n-4/gr007106/120681,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/place_batman_bruxas_capa1.png,,FALSE,,
23,Ultimate Homem-Aranha: A Morte do Homem-Aranha/Salvat,hqs,Usado - Como Novo,"R$30,00",Graphic Novel com a compilação das histórias do Homem-Aranha publicada pela Editora Salvat em 2016. Formato: Americano (17 x 26 cm) Colorido/Capa dura. Mais informações em: http://www.guiadosquadrinhos.com/edicao/colecao-oficial-de-graphic-novels-marvel-a-n-69/gr007106/126801,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/place_batman_bruxas_capa1.png,,FALSE,,
24,O Espetacular Homem-Aranha: Homem-Aranha Nunca Mais!/Salvat,hqs,Usado - Como Novo,"R$30,00",Graphic Novel com a compilação das histórias do Homem-Aranha publicada pela Editora Salvat em 2016. Formato: Americano (17 x 26 cm) Colorido/Capa dura. Mais informações em: http://www.guiadosquadrinhos.com/edicao/colecao-oficial-de-graphic-novels-marvel-a-classicos-n-6/co105410/123627,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/place_batman_bruxas_capa1.png,,FALSE,,
25,X-Men: O Cisma/Salvat,hqs,Usado - Como Novo,"R$30,00",Graphic Novel com a compilação das histórias dos X-men publicada pela Editora Salvat em 2017. Formato: Americano (17 x 26 cm) Colorido/Capa dura. Mais informações em: http://www.guiadosquadrinhos.com/edicao/colecao-oficial-de-graphic-novels-marvel-a-n-72/gr007106/129486,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/place_batman_bruxas_capa1.png,,FALSE,,
26,Terra das Sombras/Salvat,hqs,Novo,"R$30,00",HQ LACRADA. Graphic Novel com a compilação das histórias dos heróis do Universo Marvel publicada pela Editora Salvat em 2016. Formato: Americano (17 x 26 cm) Colorido/Capa dura. Mais informações em: http://www.guiadosquadrinhos.com/edicao/colecao-oficial-de-graphic-novels-marvel-a-n-65/gr007106/124463,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/place_batman_bruxas_capa1.png,,FALSE,,
27,Invasão secreta/Salvat,hqs,Usado - Como Novo,"R$30,00",Graphic Novel com a compilação das histórias dos heróis do Universo Marvel publicada pela Editora Salvat em 2015. Formato: Americano (17 x 26 cm) Colorido/Capa dura. Mais informações em: http://www.guiadosquadrinhos.com/edicao/colecao-oficial-de-graphic-novels-marvel-a-n-59/gr007106/119746,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/place_batman_bruxas_capa1.png,,FALSE,,
28,Coleção Histórica Marvel: Wolverine/Panini,hqs,Usado - Como Novo,"R$50,00",Primeiro volume das HQs históricas do universo Marvel sobre o arco 'Wolverine' publicadas pela Editora Panini em 2017. Formato: Americano (17 x 26 cm) Colorido/Lombada quadrada. Mais informações em: http://www.guiadosquadrinhos.com/edicao/colecao-historica-marvel-wolverine-n-1/co011149/129643,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/place_batman_bruxas_capa1.png,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/Tras_box_GuerrasSecretaas.png,FALSE,,
29,Superman - Entre A Foice e O Martelo (Capa Dura)/Panini,hqs,Novo,"R$50,00",HQ LACRADA. Graphic Novel sobre o Superman publicada pela Editora Panini em 2017. Formato: Americano (17 x 26 cm) Colorido/Capa dura. Mais informações em: http://www.guiadosquadrinhos.com/edicao/superman-entre-a-foice-e-o-martelo-(capa-dura)/su011134/133681,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/place_batman_bruxas_capa1.png,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/Tras_box_GuerrasSecretaas.png,FALSE,,
30,Arqueiro Verde e Lanterna Verde: Na Estrada/Eaglemoss,hqs,Usado - Como Novo,"R$30,00",Graphic Novel com a compilação das histórias do Arqueiro Verde e Lanterna Verde publicada pela Editora Eaglemoss em 2018. Formato: Americano (17 x 26 cm) Colorido/Capa dura. Mais informações em: http://www.guiadosquadrinhos.com/edicao/dc-comics-colecao-de-graphic-novels-n-59/dc125010/136833,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/place_batman_bruxas_capa1.png,,FALSE,,
31,Mulher-Maravilha - Os Olhos da Górgona/Eaglemoss,hqs,Usado - Como Novo,"R$30,00",Graphic Novel com a compilação das histórias da Mulher-Maravilha publicada pela Editora Eaglemoss em 2017. Formato: Americano (17 x 26 cm) Colorido/Capa dura. Mais informações em: http://www.guiadosquadrinhos.com/edicao/dc-comics-colecao-de-graphic-novels-n-47/dc125010/133551,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/place_batman_bruxas_capa1.png,,FALSE,,
32,Superman & Batman - Inimigos Entre Nós/Eaglemoss,hqs,Usado - Como Novo,"R$30,00",Graphic Novel com a compilação das histórias do Batman e Superman publicada pela Editora Eaglemoss em 2017. Formato: Americano (17 x 26 cm) Colorido/Capa dura. Mais informações em: http://www.guiadosquadrinhos.com/edicao/dc-comics-colecao-de-graphic-novels-n-40/dc125010/130301,https://tempestadedegatinhos.com.br/wp-content/uploads/2026/01/place_batman_bruxas_capa1.png,,FALSE,,